onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.383	18.0	0	n/a	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.6646	16.0	2	2.0	n/a	n/a	n/a
77.38	38.69	3	go	go	0.4796	16.0	2	2.0	n/a	n/a	n/a
116.07	38.69	4	no-go	no-go	0.7847000000000001	18.0	0	n/a	n/a	n/a	n/a
154.76	38.69	5	go	no-go	0.8754	15.0	3	2.0	1.0	n/a	behaved as yellow feature NoGo block (with two false-NoGo and one false-go errors)
193.45	38.69	6	no-go	no-go	0.6508999999999999	15.0	3	n/a	3.0	n/a	n/a
232.14	38.69	7	go	go	0.4531	18.0	0	n/a	n/a	n/a	n/a
270.83	38.69	8	no-go	no-go	0.7467	15.0	3	n/a	3.0	n/a	n/a
309.52	38.69	9	go	go	0.30019999999999997	17.0	1	1.0	n/a	n/a	n/a
348.21	38.69	10	no-go	no-go	0.6611	16.0	2	1.0	1.0	n/a	n/a
386.9	38.69	11	go	go	0.6446000000000001	14.0	4	n/a	n/a	n/a	n/a
425.59	38.69	12	no-go	no-go	0.7037	18.0	0	n/a	n/a	n/a	n/a
