onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.6293	16.0	2	n/a	n/a	2.0	n/a
38.69	38.69	2	no-go	no-go	0.93	17.0	1	n/a	1.0	n/a	responses backward for this entire task (note: this task done on a different day than all others, numbers reversed for correct / error trials)
77.38	38.69	3	go	go	0.5009	16.0	2	2.0	n/a	n/a	n/a
116.07	38.69	4	no-go	no-go	0.6955	17.0	1	n/a	1.0	n/a	responses backward for this entire task (note: this task done on a different day than all others, numbers reversed for correct / error trials)
154.76	38.69	5	go	go	0.6959	18.0	0	n/a	n/a	n/a	n/a
193.45	38.69	6	no-go	no-go	0.8856	14.0	4	2.0	2.0	n/a	responses backward for this entire task (note: this task done on a different day than all others, numbers reversed for correct / error trials)
232.14	38.69	7	go	go	0.7211000000000001	16.0	2	2.0	n/a	n/a	n/a
270.83	38.69	8	no-go	no-go	0.7363999999999999	16.0	2	1.0	1.0	n/a	responses backward for this entire task (note: this task done on a different day than all others, numbers reversed for correct / error trials)
309.52	38.69	9	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	no responses at all
348.21	38.69	10	no-go	no-go	0.6518999999999999	11.0	7	1.0	6.0	n/a	responses backward for this entire task (note: this task done on a different day than all others, numbers reversed for correct / error trials)
386.9	38.69	11	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	random errors
425.59	38.69	12	no-go	no-go	0.8847999999999999	12.0	6	3.0	3.0	n/a	responses backward for this entire task (note: this task done on a different day than all others, numbers reversed for correct / error trials)
