onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.4472	18.0	0	n/a	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.7529	12.0	6	2.0	4.0	n/a	n/a
77.38	38.69	3	go	go	0.6982999999999999	18.0	0	n/a	n/a	n/a	n/a
116.07	38.69	4	no-go	no-go	0.8452000000000001	15.0	3	1.0	2.0	n/a	n/a
154.76	38.69	5	go	go	0.6295	18.0	0	n/a	n/a	n/a	n/a
193.45	38.69	6	no-go	no-go	0.9162	16.0	2	1.0	1.0	n/a	n/a
232.14	38.69	7	go	go	0.6616000000000001	12.0	6	n/a	n/a	n/a	all error trials had yellow feature 
270.83	38.69	8	no-go	no-go	0.6663	18.0	0	n/a	n/a	n/a	n/a
309.52	38.69	9	go	go	0.6464	18.0	0	n/a	n/a	n/a	n/a
348.21	38.69	10	no-go	no-go	0.5955	13.0	5	2.0	3.0	n/a	n/a
386.9	38.69	11	go	go	0.8776	16.0	2	1.0	n/a	n/a	n/a
425.59	38.69	12	no-go	no-go	n/a	16.0	2	n/a	2.0	n/a	n/a
