onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	12.8	1	go	go	1.0206	5.0	0	n/a	n/a	n/a	after first 5 trials, performed as no-go task
12.8	25.98	1	go	no-go	0.48369999999999996	13.0	0	n/a	n/a	n/a	n/a
38.78	38.78	2	no-go	no-go	0.4412	18.0	0	n/a	n/a	n/a	n/a
77.56	38.78	3	go	go	0.24769999999999998	18.0	0	n/a	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	0.4854	18.0	0	n/a	n/a	n/a	n/a
155.12	38.78	5	go	go	0.2592	18.0	0	n/a	n/a	n/a	n/a
193.9	38.78	6	no-go	no-go	0.4748	18.0	0	n/a	n/a	n/a	n/a
232.68	38.78	7	go	go	0.2924	18.0	0	n/a	n/a	n/a	n/a
271.46	38.78	8	no-go	no-go	0.4646	17.0	1	n/a	1.0	n/a	n/a
310.24	38.78	9	go	go	0.5298999999999999	18.0	0	n/a	n/a	n/a	n/a
349.02	38.78	10	no-go	no-go	0.424	18.0	0	n/a	n/a	n/a	n/a
387.8	38.78	11	go	go	0.5734	18.0	0	n/a	n/a	n/a	n/a
426.58	38.78	12	no-go	no-go	0.4655	17.0	1	1.0	n/a	n/a	n/a
