onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.69	1	single	single	0.8803	14.0	4	n/a	4.0	n/a	n/a
38.69	38.87	2	array	array	1.1202999999999999	14.0	4	2.0	1.0	1.0	n/a
77.56	38.69	3	single	single	0.8179	13.0	5	2.0	n/a	3.0	n/a
116.25	26.78	4	array	array	1.071	8.0	4	3.0	1.0	n/a	n/a
143.03	12.09	4	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	random or unresponsive last 6 trials
155.12	38.69	5	single	single	0.6471	12.0	6	2.0	4.0	n/a	n/a
193.81	38.87	6	array	array	0.8877	14.0	4	2.0	2.0	n/a	n/a
232.68	38.69	7	single	single	0.8102999999999999	16.0	2	1.0	1.0	n/a	n/a
271.37	8.645	8	array	array	0.7353	3.0	0	n/a	n/a	n/a	n/a
280.015	18.135	8	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	stopped responding to stimuli
298.15	12.09	8	array	array	0.7353	5.0	1	n/a	1.0	n/a	n/a
310.24	38.69	9	single	single	0.8189	13.0	5	1.0	1.0	3.0	n/a
348.93	38.87	10	array	array	1.0223	12.0	6	4.0	2.0	n/a	n/a
387.8	8.615	11	single	single	0.7367999999999999	3.0	0	n/a	n/a	n/a	n/a
396.415	12.03	11	single	NR	n/a	n/a	n/a	n/a	n/a	n/a	random responses in middle
408.445	18.045	11	single	single	0.7367999999999999	8.0	1	1.0	n/a	n/a	n/a
426.49	26.78	12	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	initially did not respond
453.27	12.09	12	array	array	1.1758	5.0	1	2.0	n/a	n/a	n/a
