onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	go	0.7128	18.0	0	n/a	n/a	n/a	n/a
38.78	38.78	2	no-go	no-go	0.6221	14.0	4	n/a	4.0	n/a	n/a
77.56	38.78	3	go	go	0.4084	18.0	0	n/a	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	0.6641	15.0	3	1.0	3.0	n/a	n/a
155.12	22.55	5	go	go	0.5839	6.0	4	1.0	n/a	3.0	NR within this: onset=163750, dur=6030ms
177.67	8.04	5	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR in middle of block
185.71	8.19	5	go	go	0.5839	4.0	0	n/a	n/a	n/a	n/a
193.9	38.78	6	no-go	no-go	0.6387	15.0	3	n/a	3.0	n/a	n/a
232.68	38.78	7	go	go	0.4707	18.0	0	n/a	n/a	n/a	n/a
271.46	38.78	8	no-go	no-go	0.797	11.0	7	1.0	6.0	n/a	n/a
310.24	38.78	9	go	go	0.6373	16.0	2	2.0	n/a	n/a	n/a
349.02	38.78	10	no-go	no-go	0.7437	12.0	6	2.0	4.0	n/a	n/a
387.8	38.78	11	go	go	0.30760000000000004	18.0	0	n/a	n/a	n/a	n/a
426.58	38.78	12	no-go	no-go	0.7657999999999999	11.0	7	2.0	5.0	n/a	n/a
