onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.38439999999999996	18.0	0	n/a	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.6226	12.0	6	1.0	5.0	n/a	n/a
77.38	38.69	3	go	go	0.3145	17.0	1	1.0	n/a	n/a	n/a
116.07	38.69	4	no-go	go	0.5769	17.0	1	1.0	n/a	n/a	n/a
154.76	38.69	5	go	go	0.5151	16.0	2	n/a	n/a	2.0	n/a
193.45	38.69	6	no-go	go	0.5201	16.0	2	2.0	n/a	n/a	n/a
232.14	38.69	7	go	go	0.6726	18.0	0	n/a	n/a	n/a	n/a
270.83	38.69	8	no-go	no-go	0.7111000000000001	12.0	6	2.0	4.0	n/a	n/a
309.52	38.69	9	go	go	0.6844	16.0	2	n/a	n/a	2.0	n/a
348.21	26.66	10	no-go	go	0.4101	10.0	2	2.0	n/a	n/a	initially performed as go-block, then NR
374.87	12.03	10	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
386.9	20.645	11	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	initially NR
407.545	18.045	11	go	go	0.9007999999999999	8.0	1	1.0	n/a	n/a	n/a
425.59	38.69	12	no-go	go	0.8232999999999999	16.0	2	2.0	n/a	n/a	n/a
