onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.84	1	single	single	0.6688999999999999	18.0	0	n/a	n/a	n/a	n/a
38.69	38.87	2	array	array	0.7496	14.0	4	1.0	3.0	n/a	n/a
77.56	38.69	3	single	single	0.5518	13.0	1	2.0	2.0	1.0	n/a
116.25	38.87	4	array	array	0.7396	15.0	3	1.0	2.0	n/a	n/a
155.12	26.66	5	single	single	0.6377	11.0	1	n/a	1.0	n/a	n/a
181.84	12.12	5	single	NR	n/a	n/a	n/a	n/a	n/a	n/a	random responses or NR for last 6 trials
193.81	38.87	6	array	array	0.7397999999999999	13.0	5	n/a	5.0	n/a	n/a
232.68	38.69	7	single	single	0.8422999999999999	10.0	8	4.0	2.0	2.0	unclear if trying to do task after 7 trials (beginning at 249315): 5/7 correct initially, then only 5/11 correct
271.37	38.87	8	array	array	0.8623	14.0	4	1.0	3.0	n/a	n/a
310.24	38.69	9	single	single	0.48369999999999996	13.0	5	3.0	2.0	n/a	n/a
348.93	16.555	10	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	responded randomly for 1st 7 trials
365.485	22.465	10	array	array	0.6553	9.0	2	1.0	1.0	n/a	n/a
387.8	38.69	11	single	single	0.7389	12.0	6	1.0	3.0	2.0	n/a
426.49	38.87	12	array	array	0.8301000000000001	13.0	5	2.0	3.0	n/a	n/a
