onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	go	0.4576	17.0	1	1.0	n/a	n/a	n/a
38.78	38.78	2	no-go	no-go	0.6939	17.0	1	1.0	n/a	n/a	n/a
77.56	38.78	3	go	go	0.3912	18.0	0	n/a	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	0.6888	18.0	0	n/a	n/a	n/a	n/a
155.12	38.78	5	go	go	0.3867	18.0	0	n/a	n/a	n/a	n/a
193.9	38.78	6	no-go	no-go	0.7299	17.0	1	n/a	1.0	n/a	n/a
232.68	38.78	7	go	go	0.5607000000000001	18.0	0	n/a	n/a	n/a	n/a
271.46	38.78	8	no-go	no-go	0.6192000000000001	18.0	0	n/a	n/a	n/a	n/a
310.24	38.78	9	go	no-go	0.6849	18.0	0	n/a	n/a	n/a	performed as No-go block (no errors)
349.02	38.78	10	no-go	no-go	0.7848999999999999	18.0	0	n/a	n/a	n/a	n/a
387.8	38.78	11	go	go	0.43589999999999995	18.0	0	n/a	n/a	n/a	n/a
426.58	38.78	12	no-go	no-go	0.7369	18.0	0	n/a	n/a	n/a	n/a
