onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.69	1	single	NR	0.44389999999999996	n/a	n/a	n/a	n/a	n/a	random performance on this , perhaps alternating until end -- last 3 were correct; ff. s were error-free
38.69	38.87	2	array	array	0.5657000000000001	17.0	1	1.0	n/a	n/a	n/a
77.56	38.69	3	single	single	0.436	18.0	0	n/a	n/a	n/a	n/a
116.25	38.87	4	array	array	0.5448999999999999	18.0	0	n/a	n/a	n/a	n/a
155.12	38.69	5	single	single	0.3922	18.0	0	n/a	n/a	n/a	n/a
193.81	38.87	6	array	array	0.5836	17.0	1	1.0	n/a	n/a	n/a
232.68	38.69	7	single	single	0.38480000000000003	18.0	0	n/a	n/a	n/a	n/a
271.37	38.87	8	array	array	0.5357999999999999	16.0	2	1.0	1.0	n/a	n/a
310.24	38.69	9	single	single	0.3832	18.0	0	n/a	n/a	n/a	n/a
348.93	38.87	10	array	array	0.5761000000000001	18.0	0	n/a	n/a	n/a	n/a
387.8	38.69	11	single	single	0.375	18.0	0	n/a	n/a	n/a	n/a
426.49	38.87	12	array	array	0.5288999999999999	18.0	0	n/a	n/a	n/a	n/a
