onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.84	1	single	single	0.7353	18.0	0	n/a	n/a	n/a	n/a
38.69	38.87	2	array	array	0.9385	18.0	0	n/a	n/a	n/a	n/a
77.56	38.69	3	single	single	0.7346	17.0	1	1.0	n/a	n/a	n/a
116.25	38.87	4	array	array	0.9422999999999999	17.0	1	1.0	n/a	n/a	n/a
155.12	38.69	5	single	single	0.8659	17.0	1	1.0	n/a	n/a	n/a
193.81	38.87	6	array	array	0.7604	17.0	1	n/a	1.0	n/a	n/a
232.68	38.69	7	single	single	0.8219	16.0	2	1.0	n/a	1.0	n/a
271.37	38.87	8	array	array	0.9833999999999999	17.0	1	n/a	n/a	1.0	n/a
310.24	38.69	9	single	single	1.0375	16.0	2	n/a	1.0	1.0	n/a
348.93	38.87	10	array	array	1.1345999999999998	16.0	2	1.0	1.0	n/a	n/a
387.8	38.69	11	single	single	0.8171	18.0	0	n/a	n/a	n/a	n/a
426.49	38.87	12	array	array	1.0081	14.0	4	2.0	1.0	1.0	n/a
