onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.69	1	single	single	0.9394	17.0	1	n/a	1.0	n/a	n/a
38.69	38.87	2	array	array	1.0975	15.0	3	2.0	1.0	n/a	n/a
77.56	38.69	3	single	single	0.9872000000000001	17.0	1	n/a	1.0	n/a	n/a
116.25	38.87	4	array	array	1.1773	16.0	2	2.0	n/a	n/a	n/a
155.12	38.69	5	single	single	0.906	14.0	4	n/a	3.0	1.0	n/a
193.81	38.87	6	array	array	1.1260999999999999	11.0	7	3.0	3.0	1.0	n/a
232.68	38.69	7	single	single	1.1843	13.0	5	2.0	3.0	n/a	n/a
271.37	38.87	8	array	array	1.0705	10.0	8	2.0	3.0	3.0	n/a
310.24	38.69	9	single	single	1.1613	16.0	2	1.0	1.0	n/a	n/a
348.93	38.87	10	array	array	1.2301	17.0	1	1.0	n/a	n/a	n/a
387.8	38.69	11	single	single	1.1043	17.0	1	n/a	1.0	n/a	n/a
426.49	38.87	12	array	array	1.1198	14.0	4	2.0	n/a	2.0	n/a
