onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.3302	18.0	0	n/a	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.5591	18.0	0	n/a	n/a	n/a	n/a
77.38	38.69	3	go	go	0.39030000000000004	18.0	0	n/a	n/a	n/a	n/a
116.07	38.69	4	no-go	no-go	0.5922999999999999	17.0	1	n/a	1.0	n/a	n/a
154.76	38.69	5	go	go	0.5096	18.0	0	n/a	n/a	n/a	n/a
193.45	38.69	6	no-go	no-go	0.43510000000000004	18.0	0	n/a	n/a	n/a	n/a
232.14	12.475	7	go	go	n/a	4.0	1	1.0	n/a	n/a	after first error (trial 5), behaved as NoGo block
244.615	24.36	7	go	no-go	0.595	13.0	0	n/a	n/a	n/a	n/a
270.83	38.69	8	no-go	no-go	0.5664	17.0	1	n/a	1.0	n/a	n/a
309.52	38.69	9	go	go	0.4634	18.0	0	n/a	n/a	n/a	n/a
348.21	38.69	10	no-go	no-go	0.5041	18.0	0	n/a	n/a	n/a	n/a
386.9	38.69	11	go	go	0.44689999999999996	18.0	0	n/a	n/a	n/a	n/a
425.59	38.69	12	no-go	no-go	0.49560000000000004	17.0	1	n/a	1.0	n/a	n/a
