onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	go	0.7142999999999999	17.0	1	1.0	n/a	n/a	n/a
38.78	38.78	2	no-go	no-go	1.0087000000000002	14.0	4	1.0	3.0	n/a	n/a
77.56	38.78	3	go	go	0.7631	17.0	1	1.0	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	1.1829	11.0	7	2.0	5.0	n/a	n/a
155.12	20.69	5	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	not engaged during first half of block
175.81	18.09	5	go	go	0.8231	6.0	1	1.0	n/a	n/a	n/a
193.9	38.78	6	no-go	no-go	1.0540999999999998	13.0	5	3.0	2.0	n/a	n/a
232.68	38.78	7	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	disengaged
271.46	38.78	8	no-go	no-go	0.8317	14.0	4	1.0	3.0	n/a	n/a
310.24	18.68	9	go	go	0.7309	7.0	1	1.0	n/a	n/a	n/a
328.92	9.9	9	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	disengaged in middle of block
338.82	10.2	9	go	go	0.7309	5.0	0	n/a	n/a	n/a	n/a
349.02	38.78	10	no-go	no-go	1.0952	14.0	4	2.0	2.0	n/a	n/a
387.8	34.76	11	go	go	0.6988	12.0	4	2.0	n/a	2.0	n/a
422.56	4.02	11	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR for last two trials plus remainder of task
426.58	38.78	12	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR for entire 
