onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	go	0.8762000000000001	18.0	0	n/a	n/a	n/a	n/a
38.78	18.83	2	no-go	go	1.031	7.0	0	n/a	n/a	n/a	performed as go-block for 1st 7 trials
55.6	21.96	2	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	seldom responded
77.56	10.64	3	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR on first 4 trials
88.2	28.14	3	go	go	0.7793	12.0	2	2.0	n/a	n/a	n/a
116.34	38.78	4	no-go	go	0.9228999999999999	16.0	2	2.0	n/a	n/a	n/a
155.12	38.78	5	go	go	0.6706	14.0	4	2.0	n/a	2.0	n/a
193.9	38.78	6	no-go	no-go	0.9222	13.0	5	2.0	3.0	n/a	both no-go errors within a block of 6 trials with no response [4 correct]
232.68	8.63	7	go	go	0.5505	3.0	0	n/a	n/a	n/a	n/a
241.31	10.2	7	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	No responses
251.51	6.03	7	go	go	0.5505	3.0	0	n/a	n/a	n/a	n/a
257.54	5.73	7	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	No responses
263.27	8.19	7	go	go	0.5505	4.0	0	n/a	n/a	n/a	n/a
271.46	26.72	8	no-go	no-go	0.9448	6.0	3	1.0	2.0	n/a	started as no-go
292.15	14.07	8	no-go	go	0.5762	8.0	1	1.0	n/a	n/a	ended as go-block
310.24	30.59	9	go	go	0.9716	10.0	5	1.0	n/a	4.0	n/a
342.99	6.03	9	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	finishes with 3 trials of NR
349.02	38.78	10	no-go	no-go	1.0094	13.0	5	n/a	5.0	n/a	n/a
387.8	22.85	11	go	go	0.4929	8.0	2	n/a	n/a	n/a	did first 10 trials only, then NR
410.65	15.93	11	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
426.58	26.72	12	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	unrespondive to task initially
453.3	12.06	12	no-go	no-go	0.923	6.0	0	n/a	n/a	n/a	n/a
