onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.7902	17.0	1	1.0	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.864	17.0	1	n/a	1.0	n/a	n/a
77.38	38.69	3	go	go	0.943	13.0	5	3.0	n/a	2.0	n/a
122.83	13.885	4	no-go	go	0.5447000000000001	7.0	0	n/a	n/a	n/a	performed as go-block during first half of block, then alternated response irrespective of stimulus: onset=136715, dur=18045ms
136.715	18.045	4	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
154.76	38.69	5	go	go	1.0427	15.0	3	3.0	n/a	n/a	n/a
193.45	38.69	6	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	apparently random responses
232.14	26.66	7	go	no-go	n/a	9.0	3	1.0	2.0	n/a	started as no-go block for 12 trials
258.8	12.03	7	go	go	0.7352000000000001	6.0	0	n/a	n/a	n/a	ended as go-block
270.83	38.69	8	no-go	no-go	0.9853	16.0	2	1.0	1.0	n/a	n/a
309.52	38.69	9	go	go	0.7153999999999999	12.0	6	6.0	n/a	n/a	n/a
348.21	38.69	10	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	apparently random responses
386.9	38.69	11	go	go	0.7441	15.0	3	3.0	n/a	n/a	n/a
425.59	38.69	12	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	apparently random responses
