onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.69	1	single	single	0.7473	17.0	1	1.0	n/a	n/a	n/a
38.69	38.87	2	array	array	1.0856	15.0	3	2.0	1.0	n/a	n/a
77.56	38.69	3	single	single	0.8458	15.0	3	2.0	1.0	n/a	n/a
116.25	38.87	4	array	array	0.9066000000000001	12.0	6	2.0	3.0	1.0	n/a
155.12	38.69	5	single	single	0.9542999999999999	11.0	7	3.0	3.0	1.0	n/a
193.81	38.87	6	array	array	1.0087000000000002	15.0	3	1.0	2.0	1.0	n/a
232.68	38.69	7	single	single	0.7205	13.0	5	3.0	2.0	n/a	n/a
271.37	10.81	8	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	did not perform on first 4 trials of block
282.18	28.06	8	array	array	1.0647	14.0	1	1.0	n/a	n/a	n/a
310.24	14.63	9	single	single	0.8026	5.0	1	1.0	n/a	n/a	n/a
324.87	14.035	9	single	NR	n/a	n/a	n/a	n/a	n/a	n/a	middle seven trials with no task performance
338.905	10.025	9	single	single	0.8026	5.0	0	n/a	n/a	n/a	n/a
348.93	38.87	10	array	array	1.0651	16.0	2	1.0	n/a	1.0	n/a
387.8	38.69	11	single	single	0.9932000000000001	12.0	6	1.0	1.0	4.0	n/a
426.49	38.87	12	array	array	1.0797	18.0	0	n/a	n/a	n/a	n/a
