onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	go	0.8177000000000001	18.0	0	n/a	n/a	n/a	n/a
38.78	38.78	2	no-go	no-go	1.0264000000000002	17.0	1	1.0	n/a	n/a	n/a
77.56	38.78	3	go	go	0.9194	18.0	0	n/a	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	1.0291	17.0	1	n/a	1.0	n/a	n/a
155.12	38.78	5	go	go	0.967	13.0	5	2.0	n/a	3.0	n/a
193.9	38.78	6	no-go	go	1.0475999999999999	18.0	0	n/a	n/a	n/a	performed as Go block
232.68	38.78	7	go	go	0.9004	18.0	0	n/a	n/a	n/a	n/a
271.46	38.78	8	no-go	no-go	0.9429	18.0	0	n/a	n/a	n/a	n/a
310.24	38.78	9	go	go	1.0075	17.0	1	1.0	n/a	n/a	n/a
349.02	38.78	10	no-go	no-go	0.9522999999999999	17.0	1	n/a	1.0	n/a	n/a
387.8	38.78	11	go	go	0.8883	18.0	0	n/a	n/a	n/a	n/a
426.58	38.78	12	no-go	no-go	0.9612999999999999	18.0	0	n/a	n/a	n/a	n/a
