onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.2886	18.0	0	n/a	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.48160000000000003	18.0	0	n/a	n/a	n/a	n/a
77.38	38.69	3	go	go	0.3347	18.0	0	n/a	n/a	n/a	n/a
116.07	38.69	4	no-go	no-go	0.4776	18.0	0	n/a	n/a	n/a	n/a
154.76	38.69	5	go	go	0.31760000000000005	18.0	0	n/a	n/a	n/a	n/a
193.45	38.69	6	no-go	no-go	0.5478	18.0	0	n/a	n/a	n/a	n/a
232.14	38.69	7	go	go	0.42160000000000003	18.0	0	n/a	n/a	n/a	n/a
270.83	38.69	8	no-go	no-go	0.5017	18.0	0	n/a	n/a	n/a	n/a
309.52	38.69	9	go	go	0.3262	18.0	0	n/a	n/a	n/a	n/a
348.21	38.69	10	no-go	no-go	0.49439999999999995	18.0	0	n/a	n/a	n/a	n/a
386.9	38.69	11	go	go	0.31060000000000004	18.0	0	n/a	n/a	n/a	n/a
425.59	38.69	12	no-go	no-go	0.5049	18.0	0	n/a	n/a	n/a	n/a
