onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.568	18.0	0	n/a	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.8262	16.0	2	n/a	2.0	n/a	n/a
77.38	38.69	3	go	go	0.6587000000000001	18.0	0	n/a	n/a	n/a	n/a
116.07	38.69	4	no-go	no-go	0.7697999999999999	16.0	2	1.0	1.0	n/a	n/a
154.76	38.69	5	go	go	0.8386	18.0	0	n/a	n/a	n/a	n/a
193.45	38.69	6	no-go	no-go	0.9128999999999999	17.0	1	n/a	1.0	n/a	n/a
232.14	38.69	7	go	go	0.7885	17.0	1	1.0	n/a	n/a	n/a
270.83	38.69	8	no-go	go	0.7605	17.0	1	1.0	n/a	n/a	n/a
309.52	38.69	9	go	go	0.6582	17.0	1	1.0	n/a	n/a	n/a
348.21	34.83	10	no-go	go	0.7263	16.0	n/a	n/a	n/a	n/a	performed as go-block w/ NR at end
383.04	3.86	10	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
386.9	38.69	11	go	go	0.5859	17.0	1	1.0	n/a	n/a	n/a
425.59	38.69	12	no-go	no-go	0.9063	13.0	5	1.0	5.0	n/a	n/a
