onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	go	0.7257	18.0	0	n/a	n/a	n/a	n/a
38.78	38.78	2	no-go	no-go	0.9899	18.0	0	n/a	n/a	n/a	n/a
77.56	38.78	3	go	go	1.0426	17.0	1	1.0	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	1.018	15.0	3	n/a	3.0	n/a	n/a
155.12	38.78	5	go	go	0.9915	12.0	6	4.0	n/a	2.0	n/a
193.9	38.78	6	no-go	no-go	0.909	18.0	0	n/a	n/a	n/a	n/a
232.68	6.77	7	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
239.45	32.01	7	go	go	0.7742	13.0	1	1.0	n/a	n/a	n/a
271.46	38.78	8	no-go	no-go	0.8562000000000001	17.0	1	n/a	1.0	n/a	n/a
310.24	26.72	9	go	go	0.7837999999999999	10.0	2	2.0	n/a	n/a	n/a
336.96	12.06	9	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	unresponsive at end
349.02	38.78	10	no-go	no-go	0.8441000000000001	17.0	1	n/a	1.0	n/a	n/a
387.8	38.78	11	go	go	0.8286	16.0	2	2.0	n/a	n/a	n/a
426.58	38.78	12	no-go	no-go	1.0897999999999999	18.0	0	n/a	n/a	n/a	n/a
