onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.84	1	single	single	0.6183	12.0	6	3.0	3.0	n/a	n/a
38.69	38.87	2	array	NR	0.6504	n/a	n/a	n/a	n/a	n/a	random performance
77.56	38.69	3	single	NR	0.6103	n/a	n/a	n/a	n/a	n/a	random performance
116.25	38.87	4	array	NR	0.6628999999999999	n/a	n/a	n/a	n/a	n/a	random performance
155.12	38.69	5	single	NR	0.5936	n/a	n/a	n/a	n/a	n/a	random performance
193.81	38.87	6	array	NR	0.6373	n/a	n/a	n/a	n/a	n/a	random performance
232.68	38.69	7	single	NR	0.7559	n/a	n/a	n/a	n/a	n/a	random performance
271.37	38.87	8	array	NR	0.6977000000000001	n/a	n/a	n/a	n/a	n/a	random performance
310.24	38.69	9	single	NR	0.7183999999999999	n/a	n/a	n/a	n/a	n/a	random performance
348.93	38.87	10	array	NR	0.6816	n/a	n/a	n/a	n/a	n/a	random performance
387.8	38.69	11	single	NR	0.7552000000000001	n/a	n/a	n/a	n/a	n/a	random performance
426.49	38.87	12	array	NR	0.7166	n/a	n/a	n/a	n/a	n/a	random performance
