onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.69	1	single	single	0.5981000000000001	17.0	1	1.0	n/a	n/a	n/a
38.69	38.87	2	array	array	0.8209	15.0	3	1.0	2.0	n/a	n/a
77.56	38.69	3	single	single	0.6147999999999999	17.0	1	n/a	1.0	n/a	n/a
116.25	38.87	4	array	array	0.8082	17.0	1	n/a	1.0	n/a	n/a
155.12	38.69	5	single	single	0.6748999999999999	16.0	2	n/a	2.0	n/a	n/a
193.81	38.87	6	array	array	0.8431000000000001	14.0	4	2.0	1.0	1.0	n/a
232.68	38.69	7	single	single	0.7319	12.0	6	2.0	2.0	2.0	n/a
271.37	20.735	8	array	array	0.9668	8.0	1	n/a	1.0	n/a	n/a
292.105	18.135	8	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	not doing task on last half of block
310.24	38.69	9	single	single	0.743	15.0	3	1.0	1.0	1.0	n/a
348.93	38.87	10	array	array	1.0034	11.0	7	2.0	3.0	2.0	n/a
387.8	22.5	11	single	single	0.8121	7.0	3	1.0	n/a	2.0	n/a
410.3	10.175	11	single	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR on 5 consecutive trial
420.475	6.015	11	single	single	0.8121	3.0	0	n/a	n/a	n/a	n/a
426.49	18.87	12	array	array	1.1002	6.0	2	n/a	n/a	2.0	n/a
445.36	20.0	12	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	stopped responding on trial 9
