onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	28.665	1	single	single	0.6901	12.0	1	n/a	n/a	1.0	n/a
28.665	10.025	1	single	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR on last 5 trials
38.69	12.675	2	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR for first 5 trials
51.365	12.09	2	array	array	0.9402999999999999	5.0	1	n/a	n/a	n/a	n/a
63.455	14.105	2	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	always same response or NR
77.56	6.46	3	single	single	0.7029	2.0	0	n/a	n/a	n/a	n/a
84.02	20.2	3	single	NR	n/a	n/a	na/	n/a	n/a	n/a	long block of NR
104.22	12.03	3	single	single	0.7029	6.0	0	n/a	n/a	n/a	n/a
116.25	34.84	4	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	responded only on last 2 trials
149.075	4.03	4	array	array	0.8252999999999999	2.0	0	n/a	n/a	n/a	n/a
155.12	22.65	5	single	single	0.7471	8.0	2	1.0	1.0	n/a	n/a
177.77	16.04	5	single	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR on last 8 trials
198.575	13.805	6	array	array	0.9775	7.0	0	n/a	n/a	n/a	n/a
212.38	6.345	6	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR in middle of block
218.725	9.775	6	array	array	0.9775	3.0	2	1.0	n/a	1.0	n/a
228.5	4.18	6	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR at end
232.68	12.475	7	single	single	0.7222999999999999	4.0	1	n/a	1.0	n/a	n/a
245.155	12.03	7	single	NR	n/a	n/a	n/a	n/a	n/a	n/a	NR in middle
257.185	14.185	7	single	single	0.7222999999999999	7.0	0	n/a	n/a	n/a	n/a
271.37	18.87	8	array	NR	n/a	n/a	n/a	n/a	n/a	n/a	did not respond in first half
290.24	20.0	8	array	array	0.9502999999999999	7.0	3	2.0	1.0	n/a	n/a
310.24	38.69	9	single	single	0.6517999999999999	15.0	3	1.0	2.0	n/a	n/a
348.93	38.87	10	array	array	0.8082	12.0	6	3.0	3.0	n/a	n/a
387.8	38.69	11	single	single	0.6445	16.0	2	1.0	1.0	n/a	n/a
426.49	38.87	12	array	array	0.7777999999999999	14.0	4	n/a	4.0	n/a	n/a
