onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	no-go	1.0217	16.0	2	n/a	2.0	n/a	n/a
38.78	38.78	2	no-go	no-go	1.1707	15.0	3	1.0	2.0	n/a	n/a
77.56	38.78	3	go	go	0.7068	16.0	2	2.0	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	1.2246	16.0	2	n/a	2.0	n/a	n/a
155.12	38.78	5	go	go	0.6861	16.0	2	2.0	n/a	n/a	n/a
193.9	38.78	6	no-go	no-go	1.3387	14.0	4	3.0	1.0	n/a	n/a
232.68	16.82	7	go	go	0.9616	5.0	2	n/a	n/a	n/a	stopped responding for the rest of the task after 7th trial of this 
249.5	21.96	7	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
271.46	38.78	8	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
310.24	38.78	9	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
349.02	38.78	10	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
387.8	38.78	11	go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
426.58	38.78	12	no-go	NR	n/a	n/a	n/a	n/a	n/a	n/a	n/a
