onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.69	1	single	single	0.8029	15.0	3	1.0	1.0	1.0	n/a
38.69	38.87	2	array	array	1.0102	12.0	6	2.0	1.0	3.0	n/a
77.56	38.69	3	single	single	0.9078999999999999	14.0	4	2.0	1.0	1.0	n/a
116.25	38.87	4	array	array	1.1092	17.0	1	1.0	n/a	n/a	n/a
155.12	38.69	5	single	single	1.012	15.0	3	2.0	1.0	n/a	n/a
193.81	38.87	6	array	array	1.1195	12.0	6	1.0	2.0	3.0	n/a
232.68	38.69	7	single	single	1.1674	13.0	5	1.0	n/a	4.0	n/a
271.37	38.87	8	array	array	1.1227	14.0	4	1.0	n/a	3.0	n/a
310.24	38.69	9	single	single	0.8443999999999999	17.0	1	n/a	n/a	1.0	n/a
348.93	38.87	10	array	array	1.0789000000000002	17.0	1	1.0	n/a	n/a	n/a
387.8	38.69	11	single	single	0.9585	16.0	2	1.0	1.0	n/a	n/a
426.49	38.87	12	array	array	0.9971	18.0	0	n/a	n/a	n/a	n/a
