onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.69	1	single	single	0.6812999999999999	18.0	0	n/a	n/a	n/a	n/a
38.69	38.87	2	array	array	0.9853999999999999	17.0	1	n/a	1.0	n/a	n/a
77.56	38.69	3	single	single	0.8122999999999999	17.0	1	n/a	1.0	n/a	n/a
116.25	38.87	4	array	array	0.9063	18.0	0	n/a	n/a	n/a	n/a
155.12	38.69	5	single	single	0.7351	17.0	1	1.0	n/a	n/a	n/a
193.81	38.87	6	array	array	1.0264000000000002	17.0	1	1.0	n/a	n/a	n/a
232.68	38.69	7	single	single	0.7632000000000001	18.0	0	n/a	n/a	n/a	n/a
271.37	38.87	8	array	array	0.9352	18.0	0	n/a	n/a	n/a	n/a
310.24	38.69	9	single	single	0.759	17.0	1	n/a	1.0	n/a	n/a
348.93	38.87	10	array	array	0.9148	18.0	0	n/a	n/a	n/a	n/a
387.8	38.69	11	single	single	0.7359	15.0	3	2.0	1.0	n/a	n/a
426.49	38.87	12	array	array	1.0322	17.0	1	1.0	n/a	n/a	n/a
